Mineral Name,Mineral Raw Material Classification
Aluminium,Non-Ferrous Metals
Antimony,Non-Ferrous Metals
Arsenic,Non-Ferrous Metals
Barite,Industrial Minerals
Beryllium,Non-Ferrous Metals
Bismuth,Non-Ferrous Metals
Cerium,
Cesium,
Chromium,Iron & Ferro-Alloy Metals
Cobalt,Iron & Ferro-Alloy Metals
Dysprosium,
Erbium,
Europium,
Fluorspar,Industrial Minerals
Gadolinium,
Gallium,Non-Ferrous Metals
Germanium,Non-Ferrous Metals
Graphite,Industrial Minerals
Hafnium,
Holmium,
Indium,Non-Ferrous Metals
Iridium,
Lanthanum,
Lithium,Non-Ferrous Metals
Lutetium,
Magnesium,Industrial Minerals
Manganese,Iron & Ferro-Alloy Metals
Neodymium,
Nickel,Iron & Ferro-Alloy Metals
Niobium,Iron & Ferro-Alloy Metals
Palladium,Precious Metals
Platinum,Precious Metals
Praseodymium,
Rhodium,Precious Metals
Rubidium,
Ruthenium,Non-Ferrous Metals
Samarium,
Scandium,
Tantalum,Iron & Ferro-Alloy Metals
Tellurium,Non-Ferrous Metals
Terbium,
Thulium,
Tin,Non-Ferrous Metals
Titanium,Iron & Ferro-Alloy Metals
Tungsten,Iron & Ferro-Alloy Metals
Vanadium,Iron & Ferro-Alloy Metals
Ytterbium,
Yttrium,
Zinc,Non-Ferrous Metals
Zirconium,Industrial Minerals
